                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.96471,                0.55364,                 1.1115,                0.86307,                0.83771,                0.89249,                0.60024,                 1.1047,                0.55706,                 1.2396,               0.003961,               0.003961,               0.003961
                     63,                0.96273,                0.55006,                 1.1035,                0.86987,                  0.832,                0.89317,                0.59926,                 1.1014,                0.55637,                 1.2318,               0.003862,               0.003862,               0.003862
                     64,                0.95939,                0.54732,                 1.0994,                0.85524,                0.84155,                0.89231,                0.59713,                 1.0993,                0.55802,                 1.2284,               0.003763,               0.003763,               0.003763
                     65,                0.95328,                0.54269,                 1.1058,                0.87269,                0.82667,                0.89251,                0.59892,                 1.1019,                0.55925,                 1.2339,               0.003664,               0.003664,               0.003664
                     66,                 0.9432,                0.53282,                 1.0989,                 0.8684,                 0.8312,                0.89174,                  0.599,                 1.1031,                0.55883,                 1.2385,               0.003565,               0.003565,               0.003565
                     67,                0.93618,                0.52619,                 1.0938,                0.85454,                0.84509,                0.89175,                0.59889,                 1.1031,                0.56004,                 1.2376,               0.003466,               0.003466,               0.003466
                     68,                0.93279,                0.52745,                 1.0915,                 0.8691,                0.83427,                0.88966,                0.59668,                 1.1053,                0.55947,                 1.2374,               0.003367,               0.003367,               0.003367
                     69,                0.92366,                0.51368,                 1.0906,                0.86521,                0.83586,                0.88939,                0.59555,                 1.1061,                0.55756,                 1.2394,               0.003268,               0.003268,               0.003268
                     70,                0.91913,                0.51713,                 1.0916,                0.87057,                0.83104,                0.88885,                0.59487,                 1.1061,                 0.5596,                 1.2449,               0.003169,               0.003169,               0.003169
                     71,                 0.9119,                0.51365,                 1.0894,                0.86504,                0.83602,                0.88893,                0.59485,                 1.1043,                  0.561,                 1.2492,                0.00307,                0.00307,                0.00307
                     72,                0.89579,                0.49703,                 1.0815,                0.86577,                0.83511,                0.88723,                 0.5953,                  1.106,                0.56098,                 1.2528,               0.002971,               0.002971,               0.002971
                     73,                0.89745,                0.50288,                  1.073,                0.86321,                0.83444,                 0.8866,                0.59463,                 1.1048,                 0.5644,                 1.2519,               0.002872,               0.002872,               0.002872
                     74,                 0.8878,                0.49397,                 1.0743,                0.86748,                0.82516,                0.88584,                0.59296,                 1.1067,                0.56771,                 1.2536,               0.002773,               0.002773,               0.002773
                     75,                0.88597,                0.49645,                  1.074,                0.86495,                0.83109,                0.88629,                0.59398,                 1.1055,                0.56663,                 1.2529,               0.002674,               0.002674,               0.002674
                     76,                0.88629,                0.49425,                 1.0663,                0.85509,                0.83895,                0.88677,                0.59302,                  1.105,                  0.566,                 1.2539,               0.002575,               0.002575,               0.002575
                     77,                0.87628,                0.48779,                 1.0684,                0.85802,                0.83728,                0.88658,                0.59272,                 1.1046,                0.56663,                 1.2556,               0.002476,               0.002476,               0.002476
                     78,                0.87166,                0.48106,                 1.0631,                 0.8641,                 0.8322,                0.88671,                0.59353,                 1.1038,                0.56557,                  1.256,               0.002377,               0.002377,               0.002377
                     79,                0.86005,                0.47903,                 1.0522,                0.86707,                0.83377,                0.88665,                0.59395,                 1.1032,                0.56487,                 1.2548,               0.002278,               0.002278,               0.002278
                     80,                0.85145,                0.47375,                 1.0545,                0.86902,                0.82882,                0.88544,                0.59255,                  1.102,                0.56421,                 1.2557,               0.002179,               0.002179,               0.002179
                     81,                0.84733,                0.47158,                   1.05,                0.88755,                0.81048,                 0.8863,                0.59293,                 1.1016,                0.56636,                 1.2584,                0.00208,                0.00208,                0.00208
                     82,                0.84597,                0.46647,                 1.0489,                0.88546,                0.81077,                0.88573,                0.59302,                 1.1019,                0.56825,                 1.2597,               0.001981,               0.001981,               0.001981
                     83,                0.84047,                0.46533,                 1.0499,                0.88586,                0.81126,                0.88575,                0.59324,                 1.1025,                0.56805,                 1.2609,               0.001882,               0.001882,               0.001882
                     84,                0.82799,                0.45462,                 1.0395,                0.88588,                0.81363,                0.88562,                0.59284,                 1.1027,                0.56836,                 1.2629,               0.001783,               0.001783,               0.001783
                     85,                0.82285,                0.45276,                 1.0411,                0.86806,                0.83141,                0.88578,                0.59311,                 1.1033,                0.56735,                 1.2647,               0.001684,               0.001684,               0.001684
                     86,                0.81398,                0.44649,                 1.0334,                0.87874,                0.82508,                0.88547,                0.59264,                  1.104,                0.56646,                 1.2657,               0.001585,               0.001585,               0.001585
                     87,                0.81232,                0.44211,                 1.0308,                 0.8862,                0.81948,                0.88463,                 0.5923,                  1.105,                0.56694,                  1.267,               0.001486,               0.001486,               0.001486
                     88,                0.80477,                0.43843,                 1.0331,                 0.8786,                0.82228,                0.88441,                0.59263,                 1.1056,                0.56656,                 1.2686,               0.001387,               0.001387,               0.001387
                     89,                0.79725,                0.43753,                 1.0265,                0.88104,                0.82319,                0.88446,                0.59241,                 1.1056,                0.56604,                   1.27,               0.001288,               0.001288,               0.001288
                     90,                0.79461,                0.43328,                 1.0278,                0.88431,                0.82072,                0.88494,                0.59223,                 1.1062,                0.56732,                 1.2717,               0.001189,               0.001189,               0.001189
